Acceleration - Average Points,1st,46.91,
Acceleration - Best Result,1st,1st,x1
Acceleration - Total,1st,1078.83,
AutoX - Average Points,2nd,54.46,
AutoX - Best Result,1st,1st,x2
AutoX - Total,2nd,1252.56,
Business Presentation - Average Points,1st,61.32,
Business Presentation - Best Result,1st,2nd,x2
Business Presentation - Total,1st,1410.45,
Cost - Average Points,2nd,69.93,
Cost - Best Result,1st,2nd,x2
Cost - Total,2nd,1608.48,
Endurance - Average Points,2nd,82.68,
Endurance - Best Result,2nd,2nd,x1
Endurance - Total,2nd,1901.75,
Engineering Design - Average Points,2nd,105.92,
Engineering Design - Best Result,1st,1st,x2
Engineering Design - Total,2nd,2436.15,
Fuel - Average Points,2nd,27.22,
Fuel - Best Result,2nd,1st,x1
Fuel - Total,2nd,626.07,
Points - Average Points,2nd,479.13,
Points - Total,2nd,11020,
Skidpad - Average Points,2nd,37.59,
Skidpad - Best Result,1st,1st,x1
Skidpad - Total,2nd,864.66,
