Acceleration - Average Points,71st,33.15,
Acceleration - Best Result,33rd,3rd,x1
Acceleration - Total,48th,729.22,
AutoX - Average Points,47th,58.97,
AutoX - Best Result,33rd,4th,x1
AutoX - Total,43rd,1297.3,
Business Presentation - Average Points,50th,50.64,
Business Presentation - Best Result,87th,10th,x1
Business Presentation - Total,43rd,1113.97,
Cost - Average Points,146th,50.91,
Cost - Best Result,74th,7th,x1
Cost - Total,61st,1120.06,
Endurance - Average Points,33rd,97.48,
Endurance - Best Result,48th,6th,x2
Endurance - Total,38th,2144.64,
Engineering Design - Average Points,30th,91.49,
Engineering Design - Best Result,25th,3rd,x1
Engineering Design - Total,37th,2012.7,
Fuel - Average Points,28th,24.23,
Fuel - Best Result,7th,1st,x1
Fuel - Total,30th,533.0,
Points - Average Points,39th,428.32,
Points - Total,41st,9423,
Skidpad - Average Points,47th,21.92,
Skidpad - Best Result,33rd,3rd,x1
Skidpad - Total,39th,482.23,
