Acceleration - Average Points,6th,38.63,
Acceleration - Best Result,1st,1st,x2
Acceleration - Total,6th,927.14,
AutoX - Average Points,7th,55.15,
AutoX - Best Result,2nd,1st,x1
AutoX - Total,7th,1323.61,
Business Presentation - Average Points,1st,60.9,
Business Presentation - Best Result,3rd,1st,x1
Business Presentation - Total,9th,1461.6,
Cost - Average Points,8th,65.84,
Cost - Best Result,13th,2nd,x1
Cost - Total,10th,1580.23,
Endurance - Average Points,12th,77.26,
Endurance - Best Result,7th,2nd,x1
Endurance - Total,7th,1854.31,
Engineering Design - Average Points,4th,100.69,
Engineering Design - Best Result,12th,6th,x1
Engineering Design - Total,9th,2416.67,
Fuel - Average Points,5th,23.95,
Fuel - Best Result,21st,5th,x1
Fuel - Total,4th,574.74,
Points - Average Points,5th,443.0,
Points - Total,8th,10632,
Skidpad - Average Points,9th,21.04,
Skidpad - Best Result,8th,2nd,x1
Skidpad - Total,8th,504.88,
