Acceleration - Average Points,136th,19.05,
Acceleration - Best Result,151st,30th,x1
Acceleration - Total,140th,133.38,
AutoX - Average Points,148th,17.71,
AutoX - Best Result,70th,11th,x1
AutoX - Total,145th,124.0,
Business Presentation - Average Points,139th,38.58,
Business Presentation - Best Result,115th,16th,x1
Business Presentation - Total,146th,270.03,
Cost - Average Points,6th,72.98,
Cost - Best Result,88th,8th,x1
Cost - Total,126th,510.86,
Endurance - Average Points,97th,41.18,
Endurance - Best Result,157th,30th,x2
Endurance - Total,120th,288.25,
Engineering Design - Average Points,101st,65.71,
Engineering Design - Best Result,40th,5th,x1
Engineering Design - Total,133rd,460.0,
Points - Average Points,115th,260.14,
Points - Total,134th,1821,
Skidpad - Average Points,158th,4.86,
Skidpad - Best Result,166th,40th,x1
Skidpad - Total,151st,34.0,
