Acceleration - Average Points,40th,42.62,
Acceleration - Best Result,146th,27th,x1
Acceleration - Total,111th,213.1,
AutoX - Average Points,158th,13.94,
AutoX - Best Result,183rd,74th,x2
AutoX - Total,161st,69.7,
Business Presentation - Average Points,109th,43.98,
Business Presentation - Best Result,162nd,39th,x1
Business Presentation - Total,150th,219.9,
Cost - Average Points,23rd,68.78,
Cost - Best Result,21st,2nd,x1
Cost - Total,143rd,343.9,
Endurance - Average Points,101st,39.4,
Endurance - Best Result,163rd,36th,x1
Endurance - Total,133rd,197.0,
Engineering Design - Average Points,151st,55.0,
Engineering Design - Best Result,182nd,56th,x1
Engineering Design - Total,154th,275.0,
Fuel - Average Points,11th,31.96,
Fuel - Best Result,138th,31st,x1
Fuel - Total,79th,159.8,
Points - Average Points,94th,291.6,
Points - Total,144th,1458,
Skidpad - Average Points,94th,12.06,
Skidpad - Best Result,149th,32nd,x1
Skidpad - Total,130th,60.3,
