Acceleration - Average Points,6th,34.93,
Acceleration - Best Result,4th,1st,x1
Acceleration - Total,5th,454.04,
AutoX - Average Points,7th,49.6,
AutoX - Best Result,3rd,1st,x1
AutoX - Total,5th,644.83,
Business Presentation - Average Points,9th,49.04,
Business Presentation - Best Result,3rd,1st,x1
Business Presentation - Total,5th,637.47,
Cost - Average Points,7th,60.75,
Cost - Best Result,6th,2nd,x2
Cost - Total,5th,789.7,
Endurance - Average Points,9th,56.46,
Endurance - Best Result,9th,3rd,x2
Endurance - Total,7th,734.0,
Engineering Design - Average Points,6th,77.27,
Engineering Design - Best Result,4th,2nd,x1
Engineering Design - Total,5th,1004.55,
Fuel - Average Points,5th,24.02,
Fuel - Best Result,10th,2nd,x1
Fuel - Total,4th,312.31,
Points - Average Points,6th,372.08,
Points - Total,5th,4837,
Skidpad - Average Points,7th,19.81,
Skidpad - Best Result,6th,3rd,x1
Skidpad - Total,5th,257.54,
