Acceleration - Average Points,1st,52.06,
Acceleration - Best Result,1st,1st,x2
Acceleration - Total,1st,1145.36,
AutoX - Average Points,1st,77.19,
AutoX - Best Result,1st,3rd,x1
AutoX - Total,1st,1698.12,
Business Presentation - Average Points,1st,59.08,
Business Presentation - Best Result,1st,1st,x1
Business Presentation - Total,1st,1299.79,
Cost - Average Points,1st,68.3,
Cost - Best Result,1st,2nd,x1
Cost - Total,1st,1502.49,
Endurance - Average Points,1st,131.02,
Endurance - Best Result,1st,1st,x1
Endurance - Total,1st,2882.37,
Engineering Design - Average Points,2nd,102.59,
Engineering Design - Best Result,2nd,2nd,x1
Engineering Design - Total,1st,2257.0,
Fuel - Average Points,4th,17.17,
Fuel - Best Result,3rd,7th,x1
Fuel - Total,2nd,377.82,
Points - Average Points,1st,536.64,
Points - Total,1st,11806,
Skidpad - Average Points,1st,29.46,
Skidpad - Best Result,1st,2nd,x1
Skidpad - Total,1st,648.03,
