Acceleration - Average Points,73rd,3.63,
Acceleration - Best Result,67th,31st,x1
Acceleration - Total,74th,29.02,
AutoX - Average Points,77th,5.84,
AutoX - Best Result,73rd,35th,x1
AutoX - Total,74th,46.68,
Business Presentation - Average Points,68th,27.48,
Business Presentation - Best Result,65th,24th,x1
Business Presentation - Total,64th,219.83,
Cost - Average Points,78th,14.61,
Cost - Best Result,43rd,10th,x1
Cost - Total,67th,116.9,
Endurance - Average Points,69th,20.82,
Endurance - Best Result,65th,21st,x1
Endurance - Total,66th,166.6,
Engineering Design - Average Points,54th,61.17,
Engineering Design - Best Result,66th,29th,x1
Engineering Design - Total,57th,489.36,
Points - Average Points,72nd,137.88,
Points - Total,67th,1103,
Skidpad - Average Points,65th,4.33,
Skidpad - Best Result,36th,8th,x1
Skidpad - Total,65th,34.66,
