Acceleration - Average Points,4th,53.72,
Acceleration - Best Result,1st,1st,x2
Acceleration - Total,4th,913.28,
AutoX - Average Points,8th,91.13,
AutoX - Best Result,8th,1st,x1
AutoX - Total,10th,1549.19,
Business Presentation - Average Points,14th,48.47,
Business Presentation - Best Result,23rd,4th,x1
Business Presentation - Total,12th,823.94,
Cost - Average Points,35th,39.93,
Cost - Best Result,44th,10th,x1
Cost - Total,26th,678.85,
Endurance - Average Points,9th,148.07,
Endurance - Best Result,22nd,4th,x1
Endurance - Total,10th,2517.19,
Engineering Design - Average Points,17th,89.61,
Engineering Design - Best Result,27th,7th,x1
Engineering Design - Total,18th,1523.42,
Fuel - Average Points,27th,22.74,
Fuel - Best Result,49th,14th,x1
Fuel - Total,21st,386.55,
Points - Average Points,11th,518.24,
Points - Total,12th,8810,
Skidpad - Average Points,12th,26.94,
Skidpad - Best Result,19th,3rd,x2
Skidpad - Total,11th,458.0,
