Acceleration - Average Points,3rd,40.96,
Acceleration - Best Result,8th,35th,x1
Acceleration - Total,5th,81.92,
AutoX - Average Points,8th,25.25,
AutoX - Best Result,10th,41st,x1
AutoX - Total,9th,50.5,
Business Presentation - Average Points,2nd,48.82,
Business Presentation - Best Result,6th,27th,x1
Business Presentation - Total,6th,97.64,
Cost - Average Points,1st,82.32,
Cost - Best Result,4th,9th,x1
Cost - Total,5th,164.63,
Endurance - Average Points,4th,78.4,
Endurance - Best Result,5th,23rd,x1
Endurance - Total,6th,156.8,
Engineering Design - Average Points,3rd,75.0,
Engineering Design - Best Result,6th,40th,x1
Engineering Design - Total,7th,150.0,
Fuel - Average Points,1st,24.85,
Fuel - Best Result,4th,25th,x1
Fuel - Total,4th,49.7,
Points - Average Points,2nd,390.5,
Points - Total,6th,781,
Skidpad - Average Points,5th,14.65,
Skidpad - Best Result,9th,33rd,x1
Skidpad - Total,6th,29.3,
