Acceleration - Average Points,5th,3.26,
Acceleration - Best Result,5th,25th,x1
Acceleration - Total,5th,16.29,
AutoX - Average Points,5th,7.93,
AutoX - Best Result,5th,17th,x1
AutoX - Total,5th,39.64,
Business Presentation - Average Points,3rd,43.13,
Business Presentation - Best Result,3rd,12th,x1
Business Presentation - Total,4th,215.66,
Cost - Average Points,3rd,50.59,
Cost - Best Result,4th,13th,x1
Cost - Total,4th,252.95,
Endurance - Average Points,5th,1.6,
Endurance - Best Result,5th,31st,x1
Endurance - Total,5th,8.0,
Engineering Design - Average Points,3rd,70.11,
Engineering Design - Best Result,4th,10th,x1
Engineering Design - Total,4th,350.57,
Points - Average Points,5th,164.4,
Points - Total,5th,822,
