Acceleration - Average Points,12th,17.2,
Acceleration - Best Result,10th,4th,x1
Acceleration - Total,11th,154.81,
AutoX - Average Points,11th,32.87,
AutoX - Best Result,10th,4th,x1
AutoX - Total,11th,295.81,
Business Presentation - Average Points,5th,52.17,
Business Presentation - Best Result,6th,1st,x1
Business Presentation - Total,9th,469.5,
Cost - Average Points,9th,60.12,
Cost - Best Result,8th,3rd,x1
Cost - Total,8th,541.04,
Endurance - Average Points,12th,20.98,
Endurance - Best Result,12th,4th,x1
Endurance - Total,12th,188.8,
Engineering Design - Average Points,9th,66.72,
Engineering Design - Best Result,12th,5th,x3
Engineering Design - Total,9th,600.52,
Fuel - Average Points,13th,11.11,
Fuel - Best Result,5th,1st,x1
Fuel - Total,9th,100.0,
Points - Average Points,11th,267.67,
Points - Total,11th,2409,
Skidpad - Average Points,14th,6.19,
Skidpad - Best Result,10th,4th,x1
Skidpad - Total,13th,55.73,
