Acceleration - Average Points,4th,56.52,
Acceleration - Best Result,1st,1st,x9
Acceleration - Total,2nd,2882.5,
AutoX - Average Points,10th,69.18,
AutoX - Best Result,4th,1st,x4
AutoX - Total,6th,3528.34,
Business Presentation - Average Points,37th,50.27,
Business Presentation - Best Result,10th,1st,x1
Business Presentation - Total,6th,2563.67,
Cost - Average Points,9th,73.04,
Cost - Best Result,3rd,1st,x5
Cost - Total,2nd,3725.17,
Endurance - Average Points,3rd,167.21,
Endurance - Best Result,4th,1st,x3
Endurance - Total,3rd,8527.83,
Engineering Design - Average Points,13th,101.09,
Engineering Design - Best Result,20th,4th,x2
Engineering Design - Total,5th,5155.48,
Fuel - Average Points,10th,33.3,
Fuel - Best Result,22nd,3rd,x4
Fuel - Total,3rd,1698.37,
Points - Average Points,4th,585.63,
Points - Total,3rd,29867,
Skidpad - Average Points,10th,37.72,
Skidpad - Best Result,4th,1st,x2
Skidpad - Total,4th,1923.61,
