Acceleration - Average Points,53rd,16.89,
Acceleration - Best Result,59th,29th,x1
Acceleration - Total,42nd,236.48,
AutoX - Average Points,47th,18.99,
AutoX - Best Result,47th,14th,x1
AutoX - Total,40th,265.82,
Business Presentation - Average Points,64th,23.22,
Business Presentation - Best Result,52nd,13th,x1
Business Presentation - Total,48th,325.07,
Cost - Average Points,63rd,25.97,
Cost - Best Result,42nd,8th,x1
Cost - Total,48th,363.52,
Endurance - Average Points,54th,25.55,
Endurance - Best Result,54th,14th,x1
Endurance - Total,46th,357.67,
Engineering Design - Average Points,55th,59.34,
Engineering Design - Best Result,44th,12th,x1
Engineering Design - Total,41st,830.76,
Fuel - Average Points,46th,8.23,
Fuel - Best Result,36th,8th,x1
Fuel - Total,40th,115.17,
Points - Average Points,57th,179.64,
Points - Total,45th,2515,
Skidpad - Average Points,62nd,4.36,
Skidpad - Best Result,60th,28th,x1
Skidpad - Total,57th,61.1,
