Acceleration - Average Points,69th,5.01,
Acceleration - Best Result,62nd,26th,x1
Acceleration - Total,69th,35.06,
AutoX - Average Points,80th,1.07,
AutoX - Best Result,71st,39th,x1
AutoX - Total,78th,7.5,
Business Presentation - Average Points,80th,19.01,
Business Presentation - Best Result,63rd,23rd,x1
Business Presentation - Total,70th,133.09,
Cost - Average Points,76th,13.06,
Cost - Best Result,63rd,26th,x1
Cost - Total,71st,91.43,
Engineering Design - Average Points,77th,37.11,
Engineering Design - Best Result,58th,24th,x1
Engineering Design - Total,65th,259.76,
Points - Average Points,85th,75.43,
Points - Total,73rd,528,
Skidpad - Average Points,75th,0.36,
Skidpad - Best Result,64th,30th,x1
Skidpad - Total,73rd,2.5,
