Acceleration - Average Points,41st,26.2,
Acceleration - Best Result,39th,11th,x1
Acceleration - Total,57th,78.6,
AutoX - Average Points,57th,8.99,
AutoX - Best Result,63rd,49th,x1
AutoX - Total,58th,26.98,
Business Presentation - Average Points,66th,14.08,
Business Presentation - Best Result,65th,60th,x1
Business Presentation - Total,65th,42.24,
Cost - Average Points,65th,17.37,
Cost - Best Result,65th,70th,x1
Cost - Total,65th,52.11,
Endurance - Average Points,35th,62.82,
Endurance - Best Result,59th,22nd,x1
Endurance - Total,52nd,188.46,
Engineering Design - Average Points,62nd,51.67,
Engineering Design - Best Result,65th,39th,x1
Engineering Design - Total,63rd,155.0,
Fuel - Average Points,31st,17.27,
Fuel - Best Result,56th,29th,x1
Fuel - Total,51st,51.81,
Points - Average Points,54th,220.0,
Points - Total,61st,660,
Skidpad - Average Points,40th,21.52,
Skidpad - Best Result,51st,16th,x1
Skidpad - Total,55th,64.55,
