Acceleration - Average Points,12th,- Technik und Wirtschaft,49.75,
Acceleration - Best Result,20th,- Technik und Wirtschaft,3rd,x2
Acceleration - Total,7th,- Technik und Wirtschaft,1741.21,
AutoX - Average Points,11th,- Technik und Wirtschaft,68.88,
AutoX - Best Result,17th,- Technik und Wirtschaft,3rd,x2
AutoX - Total,8th,- Technik und Wirtschaft,2410.69,
Business Presentation - Average Points,26th,- Technik und Wirtschaft,54.33,
Business Presentation - Best Result,6th,- Technik und Wirtschaft,1st,x2
Business Presentation - Total,12th,- Technik und Wirtschaft,1901.72,
Cost - Average Points,16th,- Technik und Wirtschaft,69.38,
Cost - Best Result,7th,- Technik und Wirtschaft,1st,x2
Cost - Total,9th,- Technik und Wirtschaft,2428.19,
Endurance - Average Points,18th,- Technik und Wirtschaft,111.89,
Endurance - Best Result,6th,- Technik und Wirtschaft,1st,x3
Endurance - Total,9th,- Technik und Wirtschaft,3916.25,
Engineering Design - Average Points,15th,- Technik und Wirtschaft,99.01,
Engineering Design - Best Result,7th,- Technik und Wirtschaft,1st,x1
Engineering Design - Total,10th,- Technik und Wirtschaft,3465.4,
Fuel - Average Points,17th,- Technik und Wirtschaft,26.07,
Fuel - Best Result,2nd,- Technik und Wirtschaft,1st,x3
Fuel - Total,11th,- Technik und Wirtschaft,912.28,
Points - Average Points,13th,- Technik und Wirtschaft,522.34,
Points - Total,8th,- Technik und Wirtschaft,18282,
Skidpad - Average Points,4th,- Technik und Wirtschaft,43.58,
Skidpad - Best Result,6th,- Technik und Wirtschaft,1st,x2
Skidpad - Total,7th,- Technik und Wirtschaft,1525.3,
