Acceleration - Average Points,40th,27.21,
Acceleration - Best Result,46th,13th,x1
Acceleration - Total,35th,408.14,
AutoX - Average Points,37th,29.22,
AutoX - Best Result,34th,9th,x1
AutoX - Total,36th,438.33,
Business Presentation - Average Points,44th,48.47,
Business Presentation - Best Result,29th,3rd,x1
Business Presentation - Total,30th,727.04,
Cost - Average Points,53rd,50.32,
Cost - Best Result,46th,10th,x1
Cost - Total,39th,754.74,
Endurance - Average Points,45th,36.51,
Endurance - Best Result,27th,6th,x2
Endurance - Total,37th,547.65,
Engineering Design - Average Points,38th,77.62,
Engineering Design - Best Result,50th,18th,x2
Engineering Design - Total,35th,1164.34,
Fuel - Average Points,6th,35.61,
Fuel - Best Result,16th,2nd,x2
Fuel - Total,21st,534.18,
Points - Average Points,40th,320.67,
Points - Total,36th,4810,
Skidpad - Average Points,36th,24.3,
Skidpad - Best Result,27th,5th,x1
Skidpad - Total,33rd,364.57,
