Acceleration - Average Points,50th,20.32,
Acceleration - Best Result,39th,10th,x1
Acceleration - Total,28th,487.63,
AutoX - Average Points,54th,43.35,
AutoX - Best Result,57th,10th,x1
AutoX - Total,28th,1040.5,
Business Presentation - Average Points,47th,36.65,
Business Presentation - Best Result,51st,12th,x1
Business Presentation - Total,9th,879.56,
Cost - Average Points,22nd,45.87,
Cost - Best Result,17th,3rd,x2
Cost - Total,6th,1100.83,
Endurance - Average Points,61st,38.16,
Endurance - Best Result,32nd,6th,x1
Endurance - Total,45th,915.75,
Engineering Design - Average Points,50th,62.34,
Engineering Design - Best Result,36th,10th,x1
Engineering Design - Total,20th,1496.08,
Fuel - Average Points,41st,17.45,
Fuel - Best Result,19th,5th,x1
Fuel - Total,18th,418.72,
Points - Average Points,54th,276.12,
Points - Total,27th,6627,
Skidpad - Average Points,48th,12.3,
Skidpad - Best Result,37th,8th,x1
Skidpad - Total,27th,295.28,
