Acceleration - Average Points,7th,47.69,
Acceleration - Best Result,20th,4th,x1
Acceleration - Total,10th,763.05,
AutoX - Average Points,14th,82.02,
AutoX - Best Result,13th,1st,x1
AutoX - Total,15th,1312.27,
Business Presentation - Average Points,18th,45.84,
Business Presentation - Best Result,12th,2nd,x1
Business Presentation - Total,24th,733.41,
Cost - Average Points,33rd,41.29,
Cost - Best Result,13th,2nd,x1
Cost - Total,29th,660.68,
Endurance - Average Points,54th,53.24,
Endurance - Best Result,38th,7th,x1
Endurance - Total,46th,851.77,
Engineering Design - Average Points,39th,74.37,
Engineering Design - Best Result,13th,3rd,x1
Engineering Design - Total,33rd,1189.9,
Fuel - Average Points,69th,3.89,
Fuel - Best Result,47th,13th,x1
Fuel - Total,64th,62.24,
Points - Average Points,32nd,367.44,
Points - Total,30th,5879,
Skidpad - Average Points,25th,19.05,
Skidpad - Best Result,22nd,4th,x1
Skidpad - Total,26th,304.79,
