Acceleration - Average Points,31st,13.0,
Acceleration - Best Result,22nd,7th,x1
Acceleration - Total,42nd,39.0,
AutoX - Average Points,20th,34.8,
AutoX - Best Result,27th,9th,x1
AutoX - Total,39th,104.4,
Business Presentation - Average Points,20th,52.4,
Business Presentation - Best Result,49th,26th,x1
Business Presentation - Total,47th,157.2,
Cost - Average Points,54th,27.87,
Cost - Best Result,50th,29th,x1
Cost - Total,54th,83.6,
Endurance - Average Points,14th,72.97,
Endurance - Best Result,13th,3rd,x1
Endurance - Total,36th,218.9,
Engineering Design - Average Points,49th,42.0,
Engineering Design - Best Result,40th,22nd,x1
Engineering Design - Total,51st,126.0,
Fuel - Average Points,23rd,10.8,
Fuel - Best Result,25th,7th,x1
Fuel - Total,35th,32.4,
Points - Average Points,28th,260.0,
Points - Total,48th,780,
Skidpad - Average Points,26th,9.53,
Skidpad - Best Result,24th,9th,x1
Skidpad - Total,38th,28.6,
