Acceleration - Average Points,18th,40.05,
Acceleration - Best Result,43rd,13th,x1
Acceleration - Total,22nd,520.65,
AutoX - Average Points,2nd,106.79,
AutoX - Best Result,2nd,1st,x4
AutoX - Total,11th,1388.25,
Business Presentation - Average Points,28th,41.66,
Business Presentation - Best Result,18th,3rd,x1
Business Presentation - Total,30th,541.63,
Cost - Average Points,8th,59.31,
Cost - Best Result,7th,1st,x1
Cost - Total,15th,771.07,
Endurance - Average Points,4th,181.91,
Endurance - Best Result,2nd,1st,x2
Endurance - Total,10th,2364.79,
Engineering Design - Average Points,12th,97.27,
Engineering Design - Best Result,18th,4th,x1
Engineering Design - Total,26th,1264.55,
Fuel - Average Points,5th,49.04,
Fuel - Best Result,2nd,1st,x1
Fuel - Total,3rd,637.54,
Points - Average Points,3rd,610.31,
Points - Total,13th,7934,
Skidpad - Average Points,1st,37.7,
Skidpad - Best Result,6th,1st,x1
Skidpad - Total,7th,490.08,
