Acceleration - Average Points,35th,29.61,
Acceleration - Best Result,26th,5th,x1
Acceleration - Total,24th,503.33,
AutoX - Average Points,29th,62.32,
AutoX - Best Result,18th,1st,x1
AutoX - Total,27th,1059.47,
Business Presentation - Average Points,28th,42.51,
Business Presentation - Best Result,35th,6th,x1
Business Presentation - Total,25th,722.69,
Cost - Average Points,37th,39.45,
Cost - Best Result,14th,2nd,x1
Cost - Total,28th,670.66,
Endurance - Average Points,30th,101.06,
Endurance - Best Result,34th,6th,x1
Endurance - Total,26th,1718.05,
Engineering Design - Average Points,23rd,85.0,
Engineering Design - Best Result,33rd,9th,x1
Engineering Design - Total,22nd,1444.96,
Fuel - Average Points,19th,26.85,
Fuel - Best Result,46th,12th,x1
Fuel - Total,14th,456.42,
Points - Average Points,25th,407.24,
Points - Total,22nd,6923,
Skidpad - Average Points,21st,21.6,
Skidpad - Best Result,47th,11th,x1
Skidpad - Total,20th,367.22,
