Acceleration - Average Points,2nd,68.79,
Acceleration - Best Result,4th,3rd,x1
Acceleration - Total,6th,68.79,
AutoX - Average Points,1st,90.95,
AutoX - Best Result,1st,1st,x1
AutoX - Total,5th,90.95,
Cost - Average Points,12th,-100.0,
Cost - Best Result,12th,64th,x1
Cost - Total,12th,-100.0,
Endurance - Average Points,8th,8.0,
Endurance - Best Result,8th,48th,x1
Endurance - Total,8th,8.0,
Engineering Design - Average Points,9th,40.0,
Engineering Design - Best Result,10th,61st,x1
Engineering Design - Total,9th,40.0,
Points - Average Points,12th,126.0,
Points - Total,12th,126,
Skidpad - Average Points,4th,18.58,
Skidpad - Best Result,8th,31st,x1
Skidpad - Total,8th,18.58,
