Acceleration - Average Points,161st,12.66,
Acceleration - Best Result,129th,21st,x1
Acceleration - Total,134th,139.31,
AutoX - Average Points,162nd,13.55,
AutoX - Best Result,68th,11th,x2
AutoX - Total,136th,149.1,
Business Presentation - Average Points,182nd,28.79,
Business Presentation - Best Result,82nd,9th,x1
Business Presentation - Total,129th,316.69,
Cost - Average Points,173rd,40.72,
Cost - Best Result,114th,14th,x1
Cost - Total,131st,447.96,
Endurance - Average Points,160th,12.49,
Endurance - Best Result,152nd,27th,x1
Endurance - Total,146th,137.41,
Engineering Design - Average Points,153rd,54.36,
Engineering Design - Best Result,135th,22nd,x1
Engineering Design - Total,117th,598.0,
Fuel - Average Points,134th,3.08,
Fuel - Best Result,96th,13th,x1
Fuel - Total,136th,33.84,
Points - Average Points,169th,173.73,
Points - Total,127th,1911,
Skidpad - Average Points,127th,8.06,
Skidpad - Best Result,74th,11th,x1
Skidpad - Total,113th,88.61,
