Acceleration - Average Points,47th,41.35,
Acceleration - Best Result,53rd,5th,x1
Acceleration - Total,47th,744.31,
AutoX - Average Points,64th,50.43,
AutoX - Best Result,94th,16th,x1
AutoX - Total,60th,907.81,
Business Presentation - Average Points,74th,47.14,
Business Presentation - Best Result,126th,20th,x1
Business Presentation - Total,63rd,848.44,
Cost - Average Points,24th,68.72,
Cost - Best Result,104th,12th,x1
Cost - Total,51st,1237.01,
Endurance - Average Points,82nd,52.24,
Endurance - Best Result,68th,8th,x1
Endurance - Total,65th,940.29,
Engineering Design - Average Points,51st,79.44,
Engineering Design - Best Result,88th,12th,x2
Engineering Design - Total,57th,1430.0,
Fuel - Average Points,60th,17.02,
Fuel - Best Result,35th,3rd,x1
Fuel - Total,57th,306.4,
Points - Average Points,62nd,373.5,
Points - Total,57th,6723,
Skidpad - Average Points,50th,21.68,
Skidpad - Best Result,123rd,21st,x1
Skidpad - Total,51st,390.25,
