Acceleration - Average Points,116th,23.26,
Acceleration - Best Result,151st,30th,x1
Acceleration - Total,136th,139.56,
AutoX - Average Points,130th,25.24,
AutoX - Best Result,134th,28th,x1
AutoX - Total,136th,151.41,
Business Presentation - Average Points,115th,43.38,
Business Presentation - Best Result,79th,8th,x1
Business Presentation - Total,143rd,260.31,
Cost - Average Points,140th,51.79,
Cost - Best Result,132nd,20th,x1
Cost - Total,151st,310.73,
Endurance - Average Points,105th,38.87,
Endurance - Best Result,111th,17th,x1
Endurance - Total,130th,233.24,
Engineering Design - Average Points,144th,56.5,
Engineering Design - Best Result,122nd,17th,x1
Engineering Design - Total,147th,339.0,
Fuel - Average Points,125th,5.87,
Fuel - Best Result,134th,26th,x1
Fuel - Total,137th,35.2,
Points - Average Points,121st,252.33,
Points - Total,143rd,1514,
Skidpad - Average Points,138th,7.36,
Skidpad - Best Result,138th,28th,x1
Skidpad - Total,143rd,44.18,
