Acceleration - Average Points,54th,19.97,,
Acceleration - Average Points,68th,of Science,5.22,
Acceleration - Best Result,39th,11th,1,
Acceleration - Best Result,70th,of Science,40th,x1
Acceleration - Total,44th,299.56,,
Acceleration - Total,65th,of Science,41.76,
AutoX - Average Points,50th,47.46,,
AutoX - Average Points,58th,of Science,37.26,
AutoX - Best Result,24th,of Science,1st,x1
AutoX - Best Result,25th,1st,1,
AutoX - Total,40th,711.96,,
AutoX - Total,55th,of Science,298.1,
Business Presentation - Average Points,14th,47.01,,
Business Presentation - Average Points,65th,of Science,28.0,
Business Presentation - Best Result,31st,6th,2,
Business Presentation - Best Result,44th,of Science,11th,x1
Business Presentation - Total,20th,705.17,,
Business Presentation - Total,58th,of Science,224.01,
Cost - Average Points,37th,39.17,,
Cost - Average Points,85th,of Science,-8.24,
Cost - Best Result,45th,11th,1,
Cost - Best Result,84th,of Science,58th,x2
Cost - Total,29th,587.57,,
Cost - Total,85th,of Science,-65.93,
Endurance - Average Points,57th,of Science,49.55,
Endurance - Average Points,58th,48.46,,
Endurance - Best Result,27th,of Science,5th,x1
Endurance - Best Result,56th,16th,1,
Endurance - Total,48th,726.88,,
Endurance - Total,55th,of Science,396.42,
Engineering Design - Average Points,23rd,86.59,,
Engineering Design - Average Points,79th,of Science,36.25,
Engineering Design - Best Result,28th,7th,1,
Engineering Design - Best Result,60th,of Science,24th,x1
Engineering Design - Total,25th,1298.91,,
Engineering Design - Total,64th,of Science,290.0,
Fuel - Average Points,21st,of Science,25.72,
Fuel - Average Points,33rd,21.97,,
Fuel - Best Result,22nd,5th,1,
Fuel - Best Result,31st,of Science,8th,x2
Fuel - Total,24th,329.58,,
Fuel - Total,39th,of Science,205.8,
Points - Average Points,42nd,322.27,,
Points - Average Points,65th,of Science,180.5,
Points - Total,35th,4834,,
Points - Total,59th,of Science,1444,
Skidpad - Average Points,42nd,12.3,,
Skidpad - Average Points,52nd,of Science,9.33,
Skidpad - Best Result,49th,14th,1,
Skidpad - Best Result,66th,of Science,30th,x1
Skidpad - Total,35th,184.48,,
Skidpad - Total,54th,of Science,74.66,
