Acceleration - Average Points,185th,2.08,
Acceleration - Best Result,184th,83rd,x1
Acceleration - Total,182nd,12.5,
AutoX - Average Points,185th,3.42,
AutoX - Best Result,187th,86th,x1
AutoX - Total,179th,20.5,
Business Presentation - Average Points,120th,42.48,
Business Presentation - Best Result,141st,26th,x1
Business Presentation - Total,144th,254.9,
Cost - Average Points,82nd,60.82,
Cost - Best Result,156th,33rd,x1
Cost - Total,142nd,364.9,
Endurance - Average Points,166th,8.83,
Endurance - Best Result,171st,46th,x2
Endurance - Total,166th,53.0,
Engineering Design - Average Points,150th,55.0,
Engineering Design - Best Result,174th,51st,x1
Engineering Design - Total,148th,330.0,
Points - Average Points,170th,172.67,
Points - Total,153rd,1036,
Skidpad - Average Points,181st,1.58,
Skidpad - Best Result,183rd,83rd,x2
Skidpad - Total,177th,9.5,
