Acceleration - Average Points,45th,22.85,
Acceleration - Best Result,22nd,4th,x1
Acceleration - Total,40th,365.6,
AutoX - Average Points,26th,62.52,
AutoX - Best Result,53rd,6th,x1
AutoX - Total,27th,1000.29,
Business Presentation - Average Points,55th,33.99,
Business Presentation - Best Result,20th,3rd,x1
Business Presentation - Total,33rd,543.85,
Cost - Average Points,66th,21.25,
Cost - Best Result,60th,23rd,x1
Cost - Total,47th,340.0,
Endurance - Average Points,23rd,118.43,
Endurance - Best Result,7th,1st,x1
Endurance - Total,22nd,1894.84,
Engineering Design - Average Points,36th,76.75,
Engineering Design - Best Result,42nd,14th,x2
Engineering Design - Total,29th,1228.0,
Fuel - Average Points,54th,10.95,
Fuel - Best Result,56th,20th,x1
Fuel - Total,43rd,175.27,
Points - Average Points,35th,358.5,
Points - Total,30th,5736,
Skidpad - Average Points,38th,14.78,
Skidpad - Best Result,15th,2nd,x1
Skidpad - Total,31st,236.48,
