Acceleration - Average Points,178th,6.04,
Acceleration - Best Result,143rd,25th,x1
Acceleration - Total,146th,96.59,
AutoX - Average Points,150th,17.47,
AutoX - Best Result,120th,25th,x1
AutoX - Total,115th,279.56,
Business Presentation - Average Points,78th,46.75,
Business Presentation - Best Result,46th,4th,x1
Business Presentation - Total,73rd,748.02,
Cost - Average Points,129th,54.19,
Cost - Best Result,56th,5th,x2
Cost - Total,85th,867.0,
Endurance - Average Points,165th,9.46,
Endurance - Best Result,123rd,19th,x1
Endurance - Total,142nd,151.4,
Engineering Design - Average Points,178th,44.0,
Engineering Design - Best Result,146th,27th,x1
Engineering Design - Total,108th,704.0,
Fuel - Average Points,115th,7.28,
Fuel - Best Result,113th,17th,x1
Fuel - Total,92nd,116.5,
Points - Average Points,160th,188.5,
Points - Total,102nd,3016,
Skidpad - Average Points,158th,4.57,
Skidpad - Best Result,111th,18th,x1
Skidpad - Total,122nd,73.09,
