Acceleration - Average Points,5th,29.62,
Acceleration - Best Result,4th,18th,x1
Acceleration - Total,4th,88.87,
AutoX - Average Points,2nd,96.07,
AutoX - Best Result,3rd,1st,x1
AutoX - Total,4th,288.22,
Business Presentation - Average Points,8th,25.37,
Business Presentation - Best Result,6th,35th,x1
Business Presentation - Total,7th,76.11,
Cost - Average Points,7th,-16.79,
Cost - Best Result,5th,40th,x1
Cost - Total,7th,-50.38,
Endurance - Average Points,1st,135.47,
Endurance - Best Result,3rd,8th,x1
Endurance - Total,4th,406.42,
Engineering Design - Average Points,8th,20.0,
Engineering Design - Best Result,7th,48th,x1
Engineering Design - Total,7th,60.0,
Fuel - Average Points,2nd,49.76,
Fuel - Best Result,1st,4th,x1
Fuel - Total,4th,149.27,
Points - Average Points,4th,359.0,
Points - Total,5th,1077,
Skidpad - Average Points,4th,19.65,
Skidpad - Best Result,5th,12th,x1
Skidpad - Total,4th,58.94,
