Acceleration - Average Points,76th,31.6,
Acceleration - Best Result,46th,4th,x1
Acceleration - Total,62nd,568.8,
AutoX - Average Points,89th,39.13,
AutoX - Best Result,88th,13th,x1
AutoX - Total,68th,704.4,
Business Presentation - Average Points,146th,37.46,
Business Presentation - Best Result,154th,34th,x1
Business Presentation - Total,80th,674.32,
Cost - Average Points,121st,54.81,
Cost - Best Result,39th,3rd,x1
Cost - Total,69th,986.5,
Endurance - Average Points,115th,32.16,
Endurance - Best Result,68th,8th,x1
Endurance - Total,82nd,578.8,
Engineering Design - Average Points,135th,58.89,
Engineering Design - Best Result,68th,8th,x1
Engineering Design - Total,79th,1060.0,
Fuel - Average Points,64th,15.92,
Fuel - Best Result,83rd,10th,x1
Fuel - Total,57th,286.6,
Points - Average Points,104th,283.83,
Points - Total,72nd,5109,
Skidpad - Average Points,79th,14.33,
Skidpad - Best Result,75th,11th,x1
Skidpad - Total,64th,257.9,
