Acceleration - Average Points,151st,15.49,
Acceleration - Best Result,102nd,14th,x1
Acceleration - Total,138th,123.91,
AutoX - Average Points,169th,11.36,
AutoX - Best Result,146th,32nd,x1
AutoX - Total,150th,90.9,
Business Presentation - Average Points,180th,29.94,
Business Presentation - Best Result,150th,31st,x1
Business Presentation - Total,143rd,239.53,
Cost - Average Points,10th,72.01,
Cost - Best Result,76th,7th,x1
Cost - Total,114th,576.06,
Endurance - Average Points,126th,25.2,
Endurance - Best Result,162nd,34th,x1
Endurance - Total,132nd,201.61,
Engineering Design - Average Points,181st,42.5,
Engineering Design - Best Result,187th,65th,x1
Engineering Design - Total,144th,340.0,
Fuel - Average Points,119th,6.65,
Fuel - Best Result,139th,33rd,x1
Fuel - Total,122nd,53.2,
Points - Average Points,149th,207.38,
Points - Total,137th,1659,
Skidpad - Average Points,163rd,4.19,
Skidpad - Best Result,158th,35th,x1
Skidpad - Total,149th,33.5,
