Acceleration - Average Points,109th,24.59,
Acceleration - Best Result,40th,3rd,x1
Acceleration - Total,98th,319.7,
AutoX - Average Points,54th,55.23,
AutoX - Best Result,53rd,7th,x1
AutoX - Total,68th,717.95,
Business Presentation - Average Points,121st,42.23,
Business Presentation - Best Result,48th,4th,x1
Business Presentation - Total,101st,548.96,
Cost - Average Points,114th,55.78,
Cost - Best Result,64th,5th,x1
Cost - Total,101st,725.09,
Endurance - Average Points,68th,66.57,
Endurance - Best Result,62nd,7th,x1
Endurance - Total,73rd,865.36,
Engineering Design - Average Points,67th,74.31,
Engineering Design - Best Result,45th,5th,x1
Engineering Design - Total,92nd,966.09,
Fuel - Average Points,150th,0.44,
Fuel - Best Result,140th,28th,x1
Fuel - Total,150th,5.7,
Points - Average Points,77th,331.31,
Points - Total,87th,4307,
Skidpad - Average Points,91st,12.95,
Skidpad - Best Result,55th,6th,x1
Skidpad - Total,90th,168.41,
