Acceleration - Average Points,2nd,49.83,
Acceleration - Best Result,1st,2nd,x2
Acceleration - Total,1st,797.22,
AutoX - Average Points,1st,101.24,
AutoX - Best Result,1st,1st,x1
AutoX - Total,1st,1619.79,
Business Presentation - Average Points,2nd,65.8,
Business Presentation - Best Result,1st,1st,x4
Business Presentation - Total,1st,1052.74,
Cost - Average Points,1st,72.79,
Cost - Best Result,1st,1st,x1
Cost - Total,1st,1164.61,
Endurance - Average Points,1st,123.28,
Endurance - Best Result,1st,1st,x2
Endurance - Total,1st,1972.55,
Engineering Design - Average Points,1st,129.09,
Engineering Design - Best Result,1st,1st,x3
Engineering Design - Total,1st,2065.5,
Fuel - Average Points,1st,20.68,
Fuel - Best Result,1st,1st,x3
Fuel - Total,1st,330.95,
Points - Average Points,1st,597.62,
Points - Total,1st,9562,
Skidpad - Average Points,1st,34.94,
Skidpad - Best Result,1st,1st,x1
Skidpad - Total,1st,559.04,
