Acceleration - Average Points,13th,43.6,
Acceleration - Best Result,52nd,16th,x1
Acceleration - Total,52nd,218.02,
AutoX - Average Points,37th,56.8,
AutoX - Best Result,60th,11th,x1
AutoX - Total,57th,283.99,
Business Presentation - Average Points,57th,33.75,
Business Presentation - Best Result,77th,39th,x1
Business Presentation - Total,70th,168.74,
Cost - Average Points,71st,17.24,
Cost - Best Result,76th,38th,x1
Cost - Total,75th,86.2,
Endurance - Average Points,40th,78.72,
Endurance - Best Result,60th,17th,x1
Endurance - Total,58th,393.61,
Engineering Design - Average Points,67th,46.0,
Engineering Design - Best Result,67th,33rd,x1
Engineering Design - Total,72nd,230.0,
Fuel - Average Points,24th,23.58,
Fuel - Best Result,64th,23rd,x1
Fuel - Total,51st,117.88,
Points - Average Points,45th,315.6,
Points - Total,59th,1578,
Skidpad - Average Points,13th,25.81,
Skidpad - Best Result,31st,6th,x1
Skidpad - Total,48th,129.07,
