Acceleration - Average Points,26th,1.17,
Acceleration - Best Result,21st,7th,x1
Acceleration - Total,26th,3.5,
Business Presentation - Average Points,37th,50.78,
Business Presentation - Best Result,34th,9th,x1
Business Presentation - Total,30th,152.35,
Cost - Average Points,71st,40.66,
Cost - Best Result,38th,10th,x1
Cost - Total,43rd,121.99,
Engineering Design - Average Points,35th,62.77,
Engineering Design - Best Result,30th,9th,x1
Engineering Design - Total,31st,188.31,
Points - Average Points,37th,155.33,
Points - Total,34th,466,
