Acceleration - Average Points,20th,38.88,
Acceleration - Best Result,23rd,4th,x1
Acceleration - Total,12th,660.94,
AutoX - Average Points,15th,80.5,
AutoX - Best Result,38th,1st,x1
AutoX - Total,12th,1368.47,
Business Presentation - Average Points,22nd,44.53,
Business Presentation - Best Result,38th,7th,x1
Business Presentation - Total,15th,756.98,
Cost - Average Points,11th,55.28,
Cost - Best Result,12th,2nd,x2
Cost - Total,8th,939.83,
Endurance - Average Points,8th,155.93,
Endurance - Best Result,19th,3rd,x1
Endurance - Total,8th,2650.75,
Engineering Design - Average Points,28th,82.07,
Engineering Design - Best Result,34th,9th,x1
Engineering Design - Total,19th,1395.25,
Fuel - Average Points,27th,24.14,
Fuel - Best Result,6th,1st,x1
Fuel - Total,14th,410.32,
Points - Average Points,13th,505.82,
Points - Total,10th,8599,
Skidpad - Average Points,12th,25.61,
Skidpad - Best Result,11th,1st,x1
Skidpad - Total,11th,435.29,
