AutoX - Average Points,5th,6.89,
AutoX - Best Result,7th,51st,x1
AutoX - Total,4th,48.2,
Business Presentation - Average Points,4th,41.68,
Business Presentation - Best Result,4th,22nd,x1
Business Presentation - Total,4th,291.76,
Cost - Average Points,3rd,68.3,
Cost - Best Result,5th,9th,x1
Cost - Total,4th,478.13,
Engineering Design - Average Points,6th,42.86,
Engineering Design - Best Result,6th,33rd,x1
Engineering Design - Total,4th,300.0,
Points - Average Points,6th,158.71,
Points - Total,4th,1111,
Skidpad - Average Points,7th,0.36,
Skidpad - Best Result,7th,40th,x1
Skidpad - Total,7th,2.5,
