AutoX - Average Points,1st,7.5,
AutoX - Best Result,2nd,43rd,x1
AutoX - Total,2nd,7.5,
Business Presentation - Average Points,2nd,25.6,
Business Presentation - Best Result,2nd,78th,x1
Business Presentation - Total,2nd,25.6,
Cost - Average Points,1st,49.3,
Cost - Best Result,1st,45th,x1
Cost - Total,2nd,49.3,
Endurance - Average Points,1st,20.0,
Endurance - Best Result,1st,29th,x1
Endurance - Total,1st,20.0,
Engineering Design - Average Points,1st,70.0,
Engineering Design - Best Result,1st,59th,x1
Engineering Design - Total,2nd,70.0,
Points - Average Points,1st,172.0,
Points - Total,2nd,172,
