Acceleration - Average Points,3rd,47.39,
Acceleration - Best Result,8th,2nd,x1
Acceleration - Total,8th,331.71,
AutoX - Average Points,4th,72.77,
AutoX - Best Result,6th,3rd,x2
AutoX - Total,8th,509.4,
Business Presentation - Average Points,6th,51.02,
Business Presentation - Best Result,10th,3rd,x2
Business Presentation - Total,12th,357.11,
Cost - Average Points,6th,62.36,
Cost - Best Result,12th,3rd,x1
Cost - Total,12th,436.53,
Endurance - Average Points,4th,83.71,
Endurance - Best Result,7th,2nd,x1
Endurance - Total,10th,586.0,
Engineering Design - Average Points,10th,65.5,
Engineering Design - Best Result,10th,4th,x1
Engineering Design - Total,11th,458.52,
Fuel - Average Points,12th,11.9,
Fuel - Best Result,14th,4th,x2
Fuel - Total,13th,83.31,
Points - Average Points,5th,419.43,
Points - Total,10th,2936,
Skidpad - Average Points,4th,24.56,
Skidpad - Best Result,8th,3rd,x1
Skidpad - Total,7th,171.92,
