Acceleration - Average Points,181st,3.5,
Acceleration - Best Result,164th,42nd,x1
Acceleration - Total,187th,3.5,
AutoX - Average Points,177th,7.5,
AutoX - Best Result,165th,44th,x1
AutoX - Total,184th,7.5,
Business Presentation - Average Points,89th,45.57,
Business Presentation - Best Result,167th,42nd,x1
Business Presentation - Total,185th,45.57,
Cost - Average Points,160th,46.0,
Cost - Best Result,178th,52nd,x1
Cost - Total,184th,46.0,
Engineering Design - Average Points,185th,40.0,
Engineering Design - Best Result,164th,43rd,x1
Engineering Design - Total,193rd,40.0,
Points - Average Points,179th,145.0,
Points - Total,191st,145,
Skidpad - Average Points,175th,2.5,
Skidpad - Best Result,160th,39th,x1
Skidpad - Total,183rd,2.5,
