Acceleration - Average Points,11th,11.73,
Acceleration - Best Result,10th,8th,x1
Acceleration - Total,11th,93.83,
AutoX - Average Points,8th,6.65,
AutoX - Best Result,4th,5th,x1
AutoX - Total,10th,53.2,
Business Presentation - Average Points,10th,43.13,
Business Presentation - Best Result,12th,4th,x1
Business Presentation - Total,11th,345.02,
Cost - Average Points,9th,51.12,
Cost - Best Result,10th,4th,x1
Cost - Total,10th,409.0,
Endurance - Average Points,14th,3.27,
Endurance - Best Result,13th,11th,x1
Endurance - Total,12th,26.13,
Engineering Design - Average Points,16th,49.34,
Engineering Design - Best Result,7th,6th,x2
Engineering Design - Total,12th,394.7,
Points - Average Points,13th,175.0,
Points - Total,11th,1400,
Skidpad - Average Points,9th,9.89,
Skidpad - Best Result,8th,6th,x1
Skidpad - Total,11th,79.15,
