Acceleration - Average Points,63rd,36.47,
Acceleration - Best Result,106th,15th,x1
Acceleration - Total,61st,619.94,
AutoX - Average Points,23rd,76.99,
AutoX - Best Result,16th,2nd,x2
AutoX - Total,45th,1308.82,
Business Presentation - Average Points,11th,59.82,
Business Presentation - Best Result,16th,1st,x1
Business Presentation - Total,53rd,1017.01,
Cost - Average Points,45th,65.56,
Cost - Best Result,33rd,2nd,x1
Cost - Total,65th,1114.45,
Endurance - Average Points,74th,63.49,
Endurance - Best Result,26th,2nd,x1
Endurance - Total,60th,1079.3,
Engineering Design - Average Points,19th,97.35,
Engineering Design - Best Result,36th,4th,x1
Engineering Design - Total,50th,1655.0,
Fuel - Average Points,4th,40.41,
Fuel - Best Result,14th,1st,x1
Fuel - Total,16th,687.0,
Points - Average Points,30th,469.24,
Points - Total,54th,7977,
Skidpad - Average Points,8th,34.98,
Skidpad - Best Result,39th,4th,x1
Skidpad - Total,35th,594.6,
