Acceleration - Average Points,25th,16.42,
Acceleration - Best Result,9th,2nd,x1
Acceleration - Total,20th,246.35,
AutoX - Average Points,28th,27.37,
AutoX - Best Result,21st,7th,x1
AutoX - Total,19th,410.52,
Business Presentation - Average Points,56th,16.58,
Business Presentation - Best Result,50th,28th,x1
Business Presentation - Total,43rd,248.67,
Cost - Average Points,40th,45.95,
Cost - Best Result,24th,4th,x1
Cost - Total,24th,689.22,
Endurance - Average Points,32nd,32.0,
Endurance - Best Result,10th,2nd,x1
Endurance - Total,22nd,480.04,
Engineering Design - Average Points,35th,57.8,
Engineering Design - Best Result,29th,13th,x1
Engineering Design - Total,24th,867.0,
Fuel - Average Points,30th,6.6,
Fuel - Best Result,10th,2nd,x1
Fuel - Total,24th,98.98,
Points - Average Points,34th,209.8,
Points - Total,25th,3147,
Skidpad - Average Points,22nd,10.72,
Skidpad - Best Result,21st,8th,x1
Skidpad - Total,19th,160.75,
