Acceleration - Average Points,48th,1.17,
Acceleration - Best Result,40th,24th,x1
Acceleration - Total,49th,7.0,
AutoX - Average Points,50th,2.0,
AutoX - Best Result,48th,27th,x1
AutoX - Total,51st,12.0,
Business Presentation - Average Points,18th,53.37,
Business Presentation - Best Result,29th,8th,x1
Business Presentation - Total,38th,320.2,
Cost - Average Points,42nd,44.13,
Cost - Best Result,39th,12th,x1
Cost - Total,42nd,264.8,
Endurance - Average Points,46th,2.83,
Endurance - Best Result,49th,33rd,x1
Endurance - Total,50th,17.0,
Engineering Design - Average Points,27th,69.0,
Engineering Design - Best Result,37th,17th,x1
Engineering Design - Total,38th,414.0,
Points - Average Points,41st,168.33,
Points - Total,44th,1010,
Skidpad - Average Points,46th,1.0,
Skidpad - Best Result,41st,24th,x1
Skidpad - Total,47th,6.0,
