Acceleration - Average Points,30th,47.16,
Acceleration - Best Result,66th,7th,x2
Acceleration - Total,35th,1131.8,
AutoX - Average Points,32nd,70.94,
AutoX - Best Result,32nd,3rd,x1
AutoX - Total,34th,1702.46,
Business Presentation - Average Points,44th,51.25,
Business Presentation - Best Result,70th,6th,x1
Business Presentation - Total,41st,1229.91,
Cost - Average Points,123rd,54.57,
Cost - Best Result,36th,2nd,x1
Cost - Total,47th,1309.78,
Endurance - Average Points,37th,92.99,
Endurance - Best Result,36th,3rd,x1
Endurance - Total,39th,2231.78,
Engineering Design - Average Points,33rd,90.5,
Engineering Design - Best Result,67th,8th,x2
Engineering Design - Total,35th,2172.03,
Fuel - Average Points,51st,18.85,
Fuel - Best Result,112th,15th,x1
Fuel - Total,34th,452.5,
Points - Average Points,33rd,456.38,
Points - Total,35th,10953,
Skidpad - Average Points,14th,31.64,
Skidpad - Best Result,21st,1st,x1
Skidpad - Total,26th,759.35,
