Acceleration - Average Points,21st,11.15,
Acceleration - Best Result,19th,22nd,x1
Acceleration - Total,19th,55.76,
AutoX - Average Points,21st,5.74,
AutoX - Best Result,19th,27th,x1
AutoX - Total,20th,28.7,
Business Presentation - Average Points,12th,47.51,
Business Presentation - Best Result,16th,9th,x1
Business Presentation - Total,18th,237.57,
Cost - Average Points,22nd,50.19,
Cost - Best Result,18th,6th,x1
Cost - Total,19th,250.97,
Endurance - Average Points,20th,2.6,
Endurance - Best Result,20th,28th,x1
Endurance - Total,20th,13.0,
Engineering Design - Average Points,18th,75.85,
Engineering Design - Best Result,21st,23rd,x1
Engineering Design - Total,18th,379.26,
Points - Average Points,21st,183.2,
Points - Total,20th,916,
Skidpad - Average Points,21st,2.12,
Skidpad - Best Result,19th,20th,x1
Skidpad - Total,20th,10.59,
