Acceleration - Average Points,38th,7.99,
Acceleration - Best Result,36th,13th,x1
Acceleration - Total,34th,119.89,
AutoX - Average Points,46th,5.49,
AutoX - Best Result,32nd,10th,x1
AutoX - Total,41st,82.4,
Business Presentation - Average Points,43rd,36.66,
Business Presentation - Best Result,32nd,10th,x2
Business Presentation - Total,29th,549.97,
Cost - Average Points,43rd,43.26,
Cost - Best Result,27th,5th,x1
Cost - Total,26th,648.88,
Endurance - Average Points,44th,5.13,
Endurance - Best Result,48th,26th,x2
Endurance - Total,41st,77.0,
Engineering Design - Average Points,40th,53.8,
Engineering Design - Best Result,25th,11th,x1
Engineering Design - Total,26th,807.0,
Points - Average Points,47th,154.47,
Points - Total,34th,2317,
Skidpad - Average Points,38th,3.95,
Skidpad - Best Result,33rd,12th,x1
Skidpad - Total,32nd,59.24,
