Acceleration - Average Points,59th,11.79,
Acceleration - Best Result,55th,17th,x1
Acceleration - Total,60th,70.71,
AutoX - Average Points,68th,20.69,
AutoX - Best Result,67th,20th,x1
AutoX - Total,69th,124.16,
Business Presentation - Average Points,58th,31.73,
Business Presentation - Best Result,66th,24th,x1
Business Presentation - Total,68th,190.36,
Cost - Average Points,77th,15.09,
Cost - Best Result,70th,30th,x1
Cost - Total,74th,90.54,
Endurance - Average Points,73rd,7.08,
Endurance - Best Result,68th,26th,x1
Endurance - Total,74th,42.5,
Engineering Design - Average Points,61st,50.67,
Engineering Design - Best Result,38th,10th,x1
Engineering Design - Total,66th,304.0,
Fuel - Average Points,60th,7.7,
Fuel - Best Result,63rd,21st,x1
Fuel - Total,68th,46.21,
Points - Average Points,68th,155.67,
Points - Total,68th,934,
Skidpad - Average Points,46th,12.63,
Skidpad - Best Result,58th,17th,x1
Skidpad - Total,57th,75.78,
