Acceleration - Average Points,25th,48.99,
Acceleration - Best Result,30th,3rd,x3
Acceleration - Total,10th,1812.69,
AutoX - Average Points,7th,97.06,
AutoX - Best Result,13th,1st,x1
AutoX - Total,7th,3591.34,
Business Presentation - Average Points,13th,58.79,
Business Presentation - Best Result,3rd,1st,x3
Business Presentation - Total,8th,2175.2,
Cost - Average Points,30th,67.61,
Cost - Best Result,8th,1st,x2
Cost - Total,7th,2501.58,
Endurance - Average Points,14th,133.81,
Endurance - Best Result,16th,1st,x1
Endurance - Total,8th,4951.01,
Engineering Design - Average Points,2nd,119.32,
Engineering Design - Best Result,2nd,1st,x4
Engineering Design - Total,4th,4415.0,
Fuel - Average Points,34th,21.99,
Fuel - Best Result,4th,1st,x2
Fuel - Total,7th,813.73,
Points - Average Points,8th,578.24,
Points - Total,7th,21395,
Skidpad - Average Points,14th,30.61,
Skidpad - Best Result,6th,1st,x2
Skidpad - Total,7th,1132.41,
