Acceleration - Average Points,27th,35.02,
Acceleration - Best Result,30th,7th,x1
Acceleration - Total,26th,455.22,
AutoX - Average Points,32nd,58.59,
AutoX - Best Result,44th,1st,x1
AutoX - Total,37th,761.66,
Business Presentation - Average Points,45th,36.59,
Business Presentation - Best Result,50th,13th,x1
Business Presentation - Total,38th,475.62,
Cost - Average Points,39th,38.32,
Cost - Best Result,49th,14th,x2
Cost - Total,35th,498.21,
Endurance - Average Points,35th,85.95,
Endurance - Best Result,49th,13th,x1
Endurance - Total,32nd,1117.38,
Engineering Design - Average Points,42nd,74.0,
Engineering Design - Best Result,37th,12th,x1
Engineering Design - Total,37th,962.02,
Fuel - Average Points,6th,41.17,
Fuel - Best Result,15th,4th,x2
Fuel - Total,7th,535.18,
Points - Average Points,28th,386.23,
Points - Total,33rd,5021,
Skidpad - Average Points,24th,18.04,
Skidpad - Best Result,33rd,8th,x2
Skidpad - Total,29th,234.49,
