Acceleration - Average Points,7th,40.43,
Acceleration - Best Result,9th,4th,x1
Acceleration - Total,11th,404.26,
AutoX - Average Points,11th,33.76,
AutoX - Best Result,9th,6th,x1
AutoX - Total,11th,337.6,
Business Presentation - Average Points,21st,39.94,
Business Presentation - Best Result,18th,12th,x1
Business Presentation - Total,16th,399.37,
Cost - Average Points,20th,54.1,
Cost - Best Result,17th,6th,x2
Cost - Total,16th,540.97,
Endurance - Average Points,6th,73.58,
Endurance - Best Result,11th,7th,x1
Endurance - Total,11th,735.76,
Engineering Design - Average Points,21st,55.8,
Engineering Design - Best Result,16th,10th,x2
Engineering Design - Total,17th,558.0,
Fuel - Average Points,22nd,-0.84,
Fuel - Best Result,15th,28th,x1
Fuel - Total,23rd,-8.42,
Points - Average Points,17th,291.4,
Points - Total,14th,2914,
Skidpad - Average Points,16th,13.86,
Skidpad - Best Result,14th,10th,x1
Skidpad - Total,13th,138.6,
