Acceleration - Average Points,12th,34.5,
Acceleration - Best Result,8th,3rd,x1
Acceleration - Total,8th,689.94,
AutoX - Average Points,13th,27.9,
AutoX - Best Result,7th,4th,x1
AutoX - Total,8th,557.97,
Business Presentation - Average Points,19th,41.79,
Business Presentation - Best Result,15th,8th,x1
Business Presentation - Total,8th,835.75,
Cost - Average Points,18th,56.98,
Cost - Best Result,16th,3rd,x1
Cost - Total,8th,1139.62,
Endurance - Average Points,12th,46.19,
Endurance - Best Result,8th,3rd,x1
Endurance - Total,9th,923.74,
Engineering Design - Average Points,19th,72.56,
Engineering Design - Best Result,15th,8th,x1
Engineering Design - Total,9th,1451.28,
Fuel - Average Points,9th,15.36,
Fuel - Best Result,5th,1st,x1
Fuel - Total,6th,307.29,
Points - Average Points,16th,309.8,
Points - Total,8th,6196,
Skidpad - Average Points,10th,19.15,
Skidpad - Best Result,9th,4th,x1
Skidpad - Total,8th,382.98,
