Acceleration - Average Points,6th,49.74,
Acceleration - Best Result,17th,3rd,x2
Acceleration - Total,6th,845.58,
AutoX - Average Points,7th,94.09,
AutoX - Best Result,45th,1st,x1
AutoX - Total,9th,1599.47,
Business Presentation - Average Points,26th,43.94,
Business Presentation - Best Result,28th,4th,x1
Business Presentation - Total,23rd,747.02,
Cost - Average Points,29th,42.28,
Cost - Best Result,37th,8th,x1
Cost - Total,19th,718.79,
Endurance - Average Points,6th,157.49,
Endurance - Best Result,31st,5th,x1
Endurance - Total,9th,2677.39,
Engineering Design - Average Points,16th,90.93,
Engineering Design - Best Result,20th,4th,x1
Engineering Design - Total,16th,1545.84,
Fuel - Average Points,49th,13.26,
Fuel - Best Result,26th,6th,x1
Fuel - Total,39th,225.41,
Points - Average Points,12th,512.18,
Points - Total,13th,8707,
Skidpad - Average Points,10th,28.62,
Skidpad - Best Result,5th,1st,x2
Skidpad - Total,9th,486.6,
