Acceleration - Average Points,20th,4.57,
Acceleration - Best Result,16th,7th,x1
Acceleration - Total,19th,27.4,
AutoX - Average Points,22nd,2.74,
AutoX - Best Result,13th,6th,x1
AutoX - Total,20th,16.45,
Business Presentation - Average Points,36th,50.08,
Business Presentation - Best Result,27th,8th,x1
Business Presentation - Total,11th,300.45,
Cost - Average Points,26th,59.61,
Cost - Best Result,23rd,6th,x1
Cost - Total,11th,357.68,
Endurance - Average Points,14th,13.06,
Endurance - Best Result,14th,6th,x1
Endurance - Total,12th,78.39,
Engineering Design - Average Points,29th,69.97,
Engineering Design - Best Result,31st,11th,x1
Engineering Design - Total,12th,419.8,
Fuel - Average Points,8th,12.24,
Fuel - Best Result,6th,3rd,x1
Fuel - Total,7th,73.47,
Points - Average Points,17th,221.83,
Points - Total,12th,1331,
Skidpad - Average Points,11th,9.65,
Skidpad - Best Result,13th,6th,x1
Skidpad - Total,9th,57.9,
