Acceleration - Average Points,108th,24.55,
Acceleration - Best Result,91st,11th,x1
Acceleration - Total,64th,515.5,
AutoX - Average Points,110th,30.89,
AutoX - Best Result,113th,21st,x1
AutoX - Total,71st,648.65,
Business Presentation - Average Points,69th,48.67,
Business Presentation - Best Result,84th,9th,x1
Business Presentation - Total,50th,1022.16,
Cost - Average Points,9th,72.41,
Cost - Best Result,18th,1st,x1
Cost - Total,33rd,1520.71,
Endurance - Average Points,97th,42.6,
Endurance - Best Result,85th,11th,x1
Endurance - Total,65th,894.6,
Engineering Design - Average Points,139th,57.76,
Engineering Design - Best Result,64th,7th,x1
Engineering Design - Total,70th,1213.0,
Fuel - Average Points,54th,17.43,
Fuel - Best Result,99th,13th,x1
Fuel - Total,44th,366.1,
Points - Average Points,85th,305.38,
Points - Total,57th,6413,
Skidpad - Average Points,103rd,11.1,
Skidpad - Best Result,88th,14th,x1
Skidpad - Total,68th,233.0,
