Acceleration - Average Points,47th,40.05,
Acceleration - Best Result,29th,2nd,x1
Acceleration - Total,48th,720.92,
AutoX - Average Points,25th,75.12,
AutoX - Best Result,43rd,5th,x1
AutoX - Total,40th,1352.19,
Business Presentation - Average Points,34th,53.74,
Business Presentation - Best Result,68th,7th,x4
Business Presentation - Total,52nd,967.39,
Cost - Average Points,79th,61.46,
Cost - Best Result,36th,2nd,x1
Cost - Total,59th,1106.3,
Endurance - Average Points,21st,114.45,
Endurance - Best Result,39th,4th,x1
Endurance - Total,40th,2060.18,
Engineering Design - Average Points,29th,91.84,
Engineering Design - Best Result,29th,3rd,x1
Engineering Design - Total,47th,1653.15,
Fuel - Average Points,76th,14.05,
Fuel - Best Result,110th,16th,x1
Fuel - Total,62nd,252.87,
Points - Average Points,22nd,496.61,
Points - Total,42nd,8939,
Skidpad - Average Points,39th,23.72,
Skidpad - Best Result,7th,1st,x2
Skidpad - Total,45th,426.95,
