Acceleration - Average Points,2nd,51.31,
Acceleration - Best Result,1st,1st,x4
Acceleration - Total,1st,1590.71,
AutoX - Average Points,3rd,55.14,
AutoX - Best Result,2nd,2nd,x1
AutoX - Total,1st,1709.34,
Business Presentation - Average Points,1st,59.02,
Business Presentation - Best Result,1st,1st,x2
Business Presentation - Total,1st,1829.61,
Cost - Average Points,2nd,61.74,
Cost - Best Result,3rd,6th,x1
Cost - Total,1st,1913.91,
Endurance - Average Points,1st,133.03,
Endurance - Best Result,1st,2nd,x3
Endurance - Total,1st,4123.95,
Engineering Design - Average Points,1st,105.29,
Engineering Design - Best Result,1st,2nd,x3
Engineering Design - Total,1st,3264.13,
Fuel - Average Points,1st,38.36,
Fuel - Best Result,1st,4th,x1
Fuel - Total,1st,1189.3,
Points - Average Points,1st,530.13,
Points - Total,1st,16434,
Skidpad - Average Points,3rd,31.52,
Skidpad - Best Result,1st,1st,x2
Skidpad - Total,1st,977.0,
