Acceleration - Average Points,8th,13.6,
Acceleration - Best Result,2nd,9th,x1
Acceleration - Total,3rd,299.09,
AutoX - Average Points,10th,12.12,
AutoX - Best Result,3rd,13th,x1
AutoX - Total,3rd,266.65,
Business Presentation - Average Points,8th,33.34,
Business Presentation - Best Result,3rd,17th,x1
Business Presentation - Total,2nd,733.39,
Cost - Average Points,5th,55.51,
Cost - Best Result,3rd,5th,x2
Cost - Total,2nd,1221.18,
Endurance - Average Points,7th,33.21,
Endurance - Best Result,4th,18th,x1
Endurance - Total,2nd,730.55,
Engineering Design - Average Points,9th,53.83,
Engineering Design - Best Result,1st,5th,x1
Engineering Design - Total,2nd,1184.34,
Fuel - Average Points,11th,-2.96,
Fuel - Best Result,2nd,15th,x1
Fuel - Total,11th,-65.13,
Points - Average Points,8th,194.0,
Points - Total,2nd,4268,
Skidpad - Average Points,9th,4.17,
Skidpad - Best Result,3rd,12th,x1
Skidpad - Total,3rd,91.78,
