Acceleration - Average Points,91st,28.38,
Acceleration - Best Result,110th,16th,x1
Acceleration - Total,85th,397.3,
AutoX - Average Points,163rd,13.19,
AutoX - Best Result,80th,11th,x1
AutoX - Total,132nd,184.66,
Business Presentation - Average Points,142nd,38.41,
Business Presentation - Best Result,103rd,13th,x1
Business Presentation - Total,101st,537.8,
Cost - Average Points,117th,55.22,
Cost - Best Result,94th,9th,x1
Cost - Total,95th,773.04,
Endurance - Average Points,167th,8.07,
Endurance - Best Result,167th,39th,x1
Endurance - Total,153rd,113.0,
Engineering Design - Average Points,109th,63.57,
Engineering Design - Best Result,99th,13th,x1
Engineering Design - Total,94th,890.0,
Points - Average Points,148th,209.71,
Points - Total,108th,2936,
Skidpad - Average Points,100th,11.48,
Skidpad - Best Result,65th,8th,x1
Skidpad - Total,90th,160.7,
