Rank,University,Points
1,Instituto Tecnológico de Buenos Aires,75.0
2,Santa Clara University,70.24
3,KLE Technological University,69.11
4,GFR DHBW Ravensburg & Oregon State University,68.17
5,Universität Stuttgart,66.96
6,Karlsruhe Institute of Technology,66.38
7,Technische Universiteit Eindhoven,65.95
8,TU Delft,65.8
9,Universidad LaSalle,65.72
10,National University of Singapore,65.44
11,Monash University,65.0
12,Taylor's University,64.75
13,Graphic Era University,64.1
14,Universidade Estadual de Campinas,64.03
15,Koblenz University of Applied Science,64.0
16,Indian Institute of Technology Dhanbad,63.8
17,Smt. Kashibai Navale College of Engineering,63.68
18,Shri G.S. Institute of Technology and Science Indore,63.46
19,MIT World Peace University,63.44
20,RMIT University,63.11
21,Oregon State University,62.9
22,University of Washington,62.89
23,Escola de Engenharia de São Carlos da Universidade de São Paulo,62.85
24,Cornell University,62.74
25,Swinburne University of Technology,62.66
26,Cardiff University Wales,62.51
27,Indian Institute of Technology Kanpur,62.36
28,Griffith University,62.28
29,University of Auckland,62.14
30,Technische Universität Graz,61.89
31,Yokohama National University,61.8
32,Brigham Young University,61.77
33,Duale Hochschule Baden-Württemberg Stuttgart,61.68
34,National Technical University of Athens,61.39
35,Budapest University of Technology and Economics,61.32
36,Texas A&M University,61.29
37,Technische Universität Bergakademie Freiberg,61.13
38,Rochester Institute of Technology,61.08
39,Missouri University of Science and Technology,60.94
40,University Politehnica Of Bucharest,60.92
41,Technische Universität Wien,60.87
42,Dartmouth College,60.83
43,Università degli studi di Padova,60.76
44,University of Liverpool,60.63
45,University of Bath,60.49
46,Michigan State University,60.41
47,Technische Universität Braunschweig,60.34
48,Technical University of Munich,60.06
49,University of California Berkeley,59.82
50,Central Piedmont Community College,59.65
51,University of Wollongong,59.62
52,Wroclaw University of Technology,59.52
53,Aristotle University of Thessaloniki,59.5
54,Fachhochschule Joanneum Graz,59.44
55,Westsächsische Hochschule Zwickau,59.43
56,Oxford Brookes University,59.41
57,Czech Technical University in Prague,59.37
58,University of Canterbury,59.32
