Rank,University,Lowest Place,#
1,ETH Zürich,1st,16
2,Universität Stuttgart,1st,14
3,Duale Hochschule Baden-Württemberg Stuttgart,1st,5
4,Karlsruhe Institute of Technology,1st,5
5,Technische Universität Dresden,1st,5
6,TU Delft,1st,4
7,Tallinn TU UAS,1st,3
8,Technical University of Munich,1st,3
9,GFR DHBW Ravensburg & Oregon State University,1st,2
10,Hochschule Bonn-Rhein-Sieg,1st,2
11,Technische Universität Darmstadt,1st,2
12,Budapest University of Technology and Economics,1st,1
13,Carnegie Mellon University,1st,1
14,Czech Technical University in Prague,1st,1
15,Helsinki Metropolia University of Applied Sciences,1st,1
16,Leibniz Universität Hannover,1st,1
17,Massachusetts Institute of Technology,1st,1
18,McGill University,1st,1
19,National Technical University of Athens,1st,1
20,Norwegian University of Science and Technology,1st,1
21,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1st,1
22,Ostfalia University of Applied Sciences,1st,1
23,RMIT University,1st,1
24,Technische Universiteit Eindhoven,1st,1
25,Technische Universität Wien,1st,1
26,Tongji University,1st,1
27,University of Auckland,1st,1
28,University of Pennsylvania,1st,1
29,Westsächsische Hochschule Zwickau,2nd,4
30,Fachhochschule München,2nd,3
31,Rheinisch-Westfälische Technische Hochschule Aachen,2nd,2
32,Università degli studi di Padova,2nd,2
33,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2nd,1
34,Hochschule für angewandte Wissenschaften Augsburg,2nd,1
35,KU Leuven - Group T Campus,2nd,1
36,Monash University,2nd,1
37,Swinburne University of Technology,2nd,1
38,UAS Würzburg-Schweinfurt,2nd,1
39,Universidade Estadual de Campinas,2nd,1
40,University of Canterbury,2nd,1
41,University of Michigan - Ann Arbor,2nd,1
42,University of the Basque Country,2nd,1
43,Universität Bayreuth,2nd,1
44,École Polytechnique de Montréal,2nd,1
45,Politecnico di Torino,3rd,4
46,Nagoya University,3rd,2
47,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),3rd,1
48,Fachhochschule Kiel,3rd,1
49,Georgia Institute of Technology,3rd,1
50,Hochschule Mannheim,3rd,1
51,Missouri University of Science and Technology,3rd,1
52,Ostbayerische Technische Hochschule Regensburg,3rd,1
53,Purdue University - West Lafayette,3rd,1
54,Technische Hochschule Ingolstadt,3rd,1
55,Universidade de Lisboa - Instituto Superior Técnico,3rd,1
56,University of Adelaide,3rd,1
57,University of Bath,3rd,1
58,University of Ljubljana,3rd,1
59,University of Patras,3rd,1
60,University of Queensland,3rd,1
61,Université Laval,3rd,1
62,Warsaw University of Technology,3rd,1
63,The University of Akron,4th,2
64,Universität Siegen,4th,2
65,Chalmers University of Technology,4th,1
